Class	Grade	Year
Business Math	2.6	1980
Statistics	2.5	1980
Analytics	3.5	1980
Analytics	0.1	1980
Statistics	1.6	1980
Statistics	2.8	1980
Business Math	2.7	1980
Statistics	2.1	1980
Analytics	1.1	1980
Statistics	1.5	1980
Statistics	2.8	1980
Statistics	2.9	1980
Business Math	1.5	1980
Statistics	2.6	1980
Statistics	2.5	1980
Analytics	2.2	1980
Statistics	2.8	1980
Statistics	2.6	1980
Business Math	1.9	1980
Statistics	2.6	1980
Analytics	3.9	1980
Business Math	1.6	1980
Statistics	1.4	1980
Analytics	3.2	1980
Business Math	3.8	1980
Statistics	2.8	1980
Business Math	2	1980
Statistics	0.7	1980
Business Math	3.1	1980
Statistics	2.9	1980
Statistics	1.2	1980
Statistics	2.3	1980
Statistics	3.9	1980
Business Math	1.3	1980
Analytics	3.1	1980
Statistics	2.9	1980
Business Math	3.6	1980
Analytics	1.9	1980
Statistics	2.1	1980
Business Math	3	1980
Business Math	1.9	1980
Business Math	0.6	1980
Business Math	2.9	1980
Statistics	1.9	1980
Statistics	2.3	1980
Analytics	2.3	1980
Business Math	1.5	1980
Analytics	3.2	1980
Statistics	2.6	1980
Statistics	1.7	1980
Business Math	2.5	1980
Business Math	2.9	1980
Analytics	3.5	1980
Statistics	1.7	1980
Analytics	3.2	1980
Business Math	2.2	1980
Statistics	3	1980
Business Math	2.3	1980
Statistics	1.7	1980
Business Math	2.1	1980
Analytics	3.1	1980
Business Math	1.7	1980
Business Math	2.9	1980
Business Math	2.5	1980
Statistics	0.7	1980
Statistics	3.1	1980
Statistics	0.1	1980
Business Math	1.5	1980
Statistics	3	1980
Statistics	0.7	1980
Statistics	1.5	1980
Statistics	3.1	1980
Business Math	1.7	1980
Statistics	2.5	1980
Analytics	3.2	1980
Business Math	1.9	1980
Analytics	1.2	1980
Analytics	3.2	1980
Business Math	0.4	1980
Statistics	2.9	1980
Statistics	1.9	1980
Statistics	1.1	1980
Statistics	1.1	1980
Statistics	1.5	1980
Analytics	1.8	1980
Statistics	2.7	1980
Business Math	1.9	1980
Business Math	0.9	1980
Business Math	1.2	1980
Analytics	3.3	1980
Analytics	3.1	1980
Business Math	1.6	1980
Business Math	2.5	1980
Business Math	2.9	1980
Statistics	0.9	1980
Business Math	1.1	1980
Statistics	1.8	1980
Statistics	2.7	1980
Statistics	3	1980
Statistics	1.5	1980
Statistics	2	1980
Business Math	0.7	1980
Business Math	1	1980
Business Math	2	1980
Analytics	3.2	1980
Analytics	1	1980
Statistics	2.8	1980
Analytics	2.8	1980
Analytics	1.9	1980
Statistics	2.2	1980
Statistics	0	1980
Statistics	2	1980
Business Math	1.9	1980
Analytics	3.2	1980
Analytics	3.2	1980
Business Math	2.2	1980
Statistics	1.5	1980
Statistics	2.1	1980
Business Math	0.5	1980
Business Math	1.1	1980
Business Math	2.9	1980
Statistics	1.3	1980
Business Math	2.3	1980
Statistics	2.8	1980
Business Math	1.2	1980
Analytics	3.3	1980
Business Math	2.3	1980
Business Math	2	1980
Business Math	3	1980
Statistics	1.4	1980
Business Math	2	1980
Analytics	3.8	1980
Business Math	3	1980
Analytics	3.3	1980
Business Math	2.7	1980
Business Math	2.4	1980
Analytics	3.2	1980
Business Math	3.1	1980
Statistics	2.9	1980
Analytics	0.7	1980
Statistics	1.5	1980
Business Math	2.8	1980
Statistics	2.7	1980
Business Math	1	1980
Business Math	0.3	1980
Statistics	2.7	1980
Statistics	1.6	1980
Business Math	2	1980
Business Math	1.7	1980
Analytics	3.3	1980
Analytics	2.5	1980
Statistics	0.7	1980
Statistics	0.1	1980
Business Math	2.4	1980
Statistics	2.9	1980
Business Math	2.9	1980
Business Math	2.3	1980
Business Math	3.1	1980
Analytics	1.6	1980
Statistics	3.4	1980
Business Math	0.6	1980
Statistics	1.6	1980
Statistics	2.2	1980
Statistics	2.4	1980
Business Math	1	1980
Analytics	1.6	1980
Statistics	3.2	1980
Analytics	3.8	1980
Analytics	2.6	1980
Business Math	1.8	1980
Business Math	0.8	1980
Business Math	2.1	1980
Analytics	1.1	1980
Statistics	3.2	1980
Business Math	1	1980
Statistics	2.5	1980
Statistics	2.3	1980
Business Math	3.3	1980
Business Math	1.2	1980
Business Math	1.8	1980
Statistics	1.1	1980
Statistics	3	1980
Business Math	3.5	1980
Business Math	1.8	1980
Analytics	3.6	1980
Business Math	1.5	1980
Business Math	2.2	1980
Business Math	2.5	1980
Statistics	1.9	1980
Business Math	2.9	1980
Statistics	1.4	1980
Statistics	2.7	1980
Statistics	2.5	1980
Analytics	3.1	1980
Business Math	1.9	1980
Business Math	2.9	1980
Business Math	1.4	1980
Business Math	3.1	1980
Analytics	3.1	1980
Statistics	1	1980
Business Math	3	1980
Statistics	0.9	1980
Statistics	1.3	1980
Statistics	2.2	1980
Statistics	2.9	1980
Business Math	3.1	1980
Statistics	2.3	1980
Analytics	2.7	1980
Business Math	2	1980
Statistics	1	1980
Business Math	1.6	1980
Analytics	1	1980
Statistics	1.5	1980
Business Math	2.9	1980
Analytics	2.9	1980
Business Math	0.9	1980
Business Math	3.6	1980
Analytics	3.1	1980
Analytics	3.1	1980
Business Math	3	1980
Business Math	1.7	1980
Statistics	0.8	1980
Statistics	2.1	1980
Business Math	3	1980
Business Math	2.6	1980
Analytics	3.4	1980
Analytics	3	1980
Statistics	1.7	1980
Statistics	2.6	1980
Business Math	2.8	1980
Statistics	2.3	1980
Business Math	1.2	1980
Statistics	3.3	1980
Statistics	2.6	1980
Statistics	2.7	1980
Business Math	1.3	1980
Statistics	2.7	1980
Business Math	1.6	1980
Statistics	3.5	1980
Statistics	2.7	1980
Business Math	1.6	1980
Business Math	2.1	1980
Statistics	0.7	1980
Business Math	3	1980
Statistics	2.6	1980
Analytics	3.1	1980
Business Math	3.2	1980
Statistics	2.3	1980
Business Math	2.2	1980
Analytics	0.4	1980
Business Math	1.6	1980
Business Math	2.3	1980
Statistics	0.8	1980
Statistics	1.6	1980
Business Math	1.5	1980
Business Math	3.1	1980
Analytics	2.4	1980
Business Math	1.7	1980
Business Math	2.2	1980
Business Math	2.2	1980
Business Math	3.7	1980
Business Math	2.2	1980
Statistics	2.8	1980
Statistics	3	1980
Statistics	2.7	1980
Statistics	1.6	1980
Analytics	1.7	1980
Business Math	2.4	1980
Business Math	4	1980
Business Math	2.1	1980
Statistics	3	1980
Business Math	1	1980
Analytics	3	1980
Statistics	2.6	1980
Statistics	2.7	1980
Statistics	2.9	1980
Statistics	1.9	1980
Statistics	0.5	1980
Business Math	1.3	1980
Statistics	3.3	1980
Statistics	2.6	1980
Business Math	3.7	1980
Business Math	2.6	1980
Statistics	2	1980
Statistics	3	1980
Business Math	2.1	1980
Statistics	3.3	1980
Statistics	2.8	1980
Statistics	2.1	1980
Statistics	2.3	1980
Business Math	3.3	1980
Business Math	2.3	1980
Business Math	1.7	1980
Statistics	2.3	1980
Business Math	2.4	1980
Business Math	1.9	1980
Statistics	3	1980
Analytics	3.2	1980
Analytics	1.8	1980
Business Math	2.9	1980
Business Math	2.9	1980
Business Math	3.7	1980
Statistics	2.5	1980
Business Math	3	1980
Business Math	3.1	1980
Statistics	2.5	1980
Statistics	1.5	1980
Analytics	3.2	1980
Analytics	0	1980
Business Math	0.4	1980
Statistics	2.6	1980
Statistics	1.8	1980
Statistics	0.8	1980
Business Math	1	1980
Business Math	1.7	1980
Statistics	0.7	1980
Business Math	1.6	1980
Business Math	2.1	1980
Business Math	2.9	1980
Business Math	1.5	1980
Analytics	0.2	1980
Statistics	2.5	1980
Statistics	1.9	1980
Statistics	1.7	1980
Statistics	2.6	1980
Business Math	3	1980
Analytics	0	1980
Statistics	2	1980
Analytics	3.1	1980
Statistics	2.3	1980
Statistics	3	1980
Business Math	3.2	1980
Business Math	2.4	1980
Business Math	3	1980
Statistics	1.2	1980
Business Math	3.1	1980
Business Math	0.4	1980
Statistics	2.8	1980
Analytics	3.3	1980
Business Math	2.4	1980
Statistics	2.5	1980
Statistics	2.6	1980
Business Math	2	1980
Statistics	1.7	1980
Business Math	1.2	1980
Business Math	3.1	1980
Statistics	1.8	1980
Business Math	2.9	1980
Analytics	3.2	1980
Business Math	2.9	1980
Analytics	3	1980
Statistics	0.7	1980
Business Math	1.8	1980
Business Math	1.3	1980
Business Math	3.1	1980
Analytics	3.1	1980
Analytics	3.1	1980
Business Math	2.9	1980
Statistics	2.2	1980
Statistics	2.8	1980
Business Math	2.1	1980
Business Math	1.2	1980
Statistics	0.8	1980
Statistics	1.2	1980
Business Math	1.7	1980
Business Math	2	1980
Statistics	2.6	1980
Business Math	0.6	1980
Analytics	3.2	1980
Statistics	0.5	1980
Statistics	3.1	1980
Statistics	1.8	1980
Analytics	3.2	1980
Statistics	2.3	1980
Analytics	0.1	1980
Business Math	2.7	1980
Statistics	0.7	1980
Analytics	3.2	1980
Analytics	1.5	1980
Statistics	2.5	1980
Analytics	3.2	1980
Business Math	2.3	1980
Statistics	2.3	1980
Business Math	0.6	1980
Statistics	0.5	1980
Statistics	0.5	1980
Business Math	1.4	1980
Business Math	1.5	1980
Business Math	2.7	1980
Statistics	1	1980
Analytics	1.1	1980
Statistics	2.1	1980
Analytics	3.3	1980
Analytics	3.8	1980
Analytics	3.3	1980
Statistics	1.1	1980
Analytics	1.9	1980
Business Math	3.1	1980
Business Math	2	1980
Analytics	3.2	1980
Business Math	2.8	1980
Statistics	0.7	1980
Business Math	1.2	1980
Business Math	2.9	1980
Statistics	1.6	1980
Statistics	1.8	1980
Statistics	2.5	1980
Analytics	1	1980
Statistics	2.3	1980
Statistics	2.3	1980
Statistics	1.6	1980
Analytics	3.3	1980
Business Math	0.3	1980
Business Math	1.8	1980
Analytics	3.1	1980
Analytics	3.2	1980
Business Math	1.8	1980
Statistics	3.9	1980
Business Math	2	1980
Analytics	3.2	1980
Business Math	3	1980
Statistics	2.8	1980
Statistics	3	1980
Business Math	0.2	1980
Statistics	3.6	1980
Analytics	2.9	1980
Business Math	2.9	1980
Analytics	3.3	1980
Analytics	3.2	1980
Business Math	3.1	1980
Business Math	1.8	1980
Statistics	1.2	1980
Business Math	0.3	1980
Analytics	3.1	1980
Analytics	3.1	1980
Analytics	1.7	1980
Statistics	3	1980
Business Math	3.1	1980
Business Math	2.7	1980
Statistics	2.9	1980
Business Math	2.9	1980
Statistics	2.3	1980
Analytics	1.5	1980
Analytics	0.8	1980
Analytics	1.3	1980
Statistics	2.8	1980
Statistics	1.1	1980
Business Math	0	1980
Statistics	0.8	1980
Statistics	2.6	1980
Business Math	2.8	1980
Analytics	3.7	1980
Statistics	2.7	1980
Business Math	2.3	1980
Business Math	3	1980
Statistics	2.2	1980
Statistics	2	1980
Business Math	3.1	1980
Business Math	3.1	1980
Statistics	0.6	1980
Analytics	3.1	1980
Statistics	2.6	1980
Business Math	1.7	1980
Business Math	3.1	1980
Statistics	2.7	1980
Business Math	3	1980
Business Math	3	1980
Analytics	0.3	1980
Statistics	3	1980
Analytics	3	1980
Statistics	2.4	1980
Statistics	3.7	1980
Statistics	0.6	1980
Business Math	1.5	1980
Business Math	2.6	1980
Statistics	1.2	1980
Analytics	3.1	1980
Statistics	2.8	1980
Business Math	3	1980
Business Math	3.1	1980
Statistics	3.3	1980
Analytics	0.2	1980
Statistics	0.4	1980
Analytics	3.2	1980
Business Math	1.5	1980
Business Math	1.7	1980
Statistics	1.5	1980
Business Math	3.2	1980
Business Math	1.6	1980
Analytics	1.2	1980
Statistics	1.2	1980
Statistics	1.9	1980
Statistics	2.8	1980
Statistics	2.5	1980
Statistics	2.5	1980
Analytics	3.2	1980
Business Math	2	1980
Business Math	1.8	1980
Statistics	2.5	1980
Analytics	2.4	1980
Analytics	0	1980
Business Math	2.1	1980
Statistics	3.3	1980
Business Math	2.9	1980
Business Math	1.4	1980
Statistics	2.3	1980
Business Math	1.9	1980
Statistics	0.8	1980
Analytics	2.3	1980
Statistics	1.3	1980
Analytics	3.1	1980
Analytics	3.2	1980
Business Math	1.3	1980
Statistics	0.9	1980
Business Math	1	1980
Statistics	2.8	1980
Statistics	1.5	1980
Statistics	2.8	1980
Statistics	3	1980
Business Math	2.2	1980
Business Math	2.9	1980
Statistics	3	1980
Business Math	3.1	1980
Statistics	2.5	1980
Business Math	2	1980
Statistics	1.7	1980
Statistics	2.9	1980
Business Math	2.9	1980
Statistics	1.2	1980
Statistics	1	1980
Statistics	0.5	1980
Analytics	3.1	1980
Analytics	3.3	1980
Analytics	3.3	1980
Business Math	1.6	1980
Statistics	1.9	1980
Statistics	1.9	1980
Statistics	2.5	1980
Analytics	2	1980
Analytics	3.7	1980
Analytics	2	1980
Statistics	2.8	1980
Statistics	3.4	1980
Business Math	2.9	1980
Statistics	2.7	1980
Statistics	3.3	1980
Analytics	0.7	1980
Statistics	2.4	1980
Statistics	3	1980
Statistics	2.2	1980
Business Math	1.5	1980
Statistics	1.3	1980
Business Math	2.9	1980
Statistics	0.8	1980
Statistics	1.1	1980
Business Math	2.9	1980
Statistics	2.8	1980
Business Math	1.2	1980
Statistics	1.8	1980
Business Math	2.4	1981
Statistics	1.4	1981
Analytics	3.3	1981
Business Math	1.5	1981
Analytics	3.3	1981
Business Math	1.6	1981
Business Math	2.7	1981
Statistics	2.1	1981
Statistics	2.7	1981
Business Math	1.3	1981
Business Math	3	1981
Statistics	1.1	1981
Analytics	1.5	1981
Business Math	2.2	1981
Statistics	1.9	1981
Statistics	3.6	1981
Business Math	1.6	1981
Statistics	3.2	1981
Statistics	2.2	1981
Statistics	2.6	1981
Statistics	2.4	1981
Business Math	2.9	1981
Business Math	3.1	1981
Business Math	3	1981
Business Math	3.2	1981
Business Math	1.5	1981
Statistics	2.7	1981
Analytics	3.4	1981
Business Math	1.9	1981
Statistics	1.6	1981
Statistics	0.6	1981
Analytics	0.5	1981
Statistics	0.9	1981
Business Math	3.2	1981
Business Math	3.1	1981
Business Math	1.5	1981
Statistics	2.7	1981
Business Math	2	1981
Statistics	2.5	1981
Statistics	2.8	1981
Analytics	2.3	1981
Statistics	1.9	1981
Analytics	2.2	1981
Business Math	1	1981
Business Math	3	1981
Business Math	2.1	1981
Statistics	3.1	1981
Statistics	2.7	1981
Statistics	2.3	1981
Statistics	1.6	1981
Analytics	3.4	1981
Analytics	3.3	1981
Statistics	3	1981
Business Math	2.1	1981
Statistics	3.8	1981
Statistics	2.2	1981
Analytics	0.7	1981
Business Math	0.9	1981
Business Math	1.7	1981
Business Math	3.5	1981
Business Math	1	1981
Business Math	1.8	1981
Statistics	2.9	1981
Business Math	3.8	1981
Analytics	1.6	1981
Business Math	2.4	1981
Analytics	1.8	1981
Analytics	2	1981
Business Math	2	1981
Business Math	3.6	1981
Business Math	2.1	1981
Business Math	1.9	1981
Analytics	3.2	1981
Statistics	3.1	1981
Business Math	2.8	1981
Business Math	1.7	1981
Analytics	3.1	1981
Business Math	1.9	1981
Statistics	2.6	1981
Statistics	2.7	1981
Business Math	1.4	1981
Analytics	3.2	1981
Business Math	1.3	1981
Statistics	3.2	1981
Analytics	3.2	1981
Statistics	0.6	1981
Statistics	1.8	1981
Statistics	0.6	1981
Business Math	2.3	1981
Analytics	3.4	1981
Analytics	3.1	1981
Statistics	1.3	1981
Statistics	2.2	1981
Statistics	1.9	1981
Analytics	1.8	1981
Statistics	3	1981
Statistics	3.2	1981
Statistics	0.5	1981
Statistics	3.4	1981
Analytics	3.2	1981
Statistics	2.6	1981
Business Math	1.2	1981
Analytics	3.2	1981
Statistics	1.9	1981
Statistics	2.4	1981
Analytics	3.9	1981
Business Math	3	1981
Business Math	3.5	1981
Statistics	1.4	1981
Statistics	1.6	1981
Statistics	3.7	1981
Statistics	2.2	1981
Business Math	2.9	1981
Statistics	2.3	1981
Business Math	2.8	1981
Statistics	3	1981
Business Math	3.1	1981
Statistics	2.4	1981
Business Math	2.2	1981
Business Math	1.3	1981
Analytics	3.1	1981
Statistics	1.8	1981
Business Math	1.6	1981
Analytics	2.8	1981
Business Math	2.9	1981
Business Math	2.3	1981
Statistics	2.1	1981
Statistics	0.4	1981
Business Math	2	1981
Business Math	1.4	1981
Statistics	0.9	1981
Business Math	2.8	1981
Statistics	2.8	1981
Business Math	3	1981
Statistics	3.1	1981
Analytics	2.2	1981
Analytics	2.8	1981
Statistics	1.7	1981
Analytics	1	1981
Analytics	0.5	1981
Statistics	2	1981
Statistics	2.8	1981
Statistics	2.5	1981
Statistics	2.6	1981
Statistics	0.6	1981
Analytics	3.3	1981
Statistics	2.5	1981
Business Math	3	1981
Business Math	1.9	1981
Statistics	2.5	1981
Business Math	3.2	1981
Business Math	1.8	1981
Analytics	0.2	1981
Business Math	1	1981
Business Math	0.8	1981
Business Math	3.2	1981
Analytics	1.3	1981
Business Math	2.1	1981
Statistics	2.9	1981
Business Math	2.4	1981
Analytics	3.4	1981
Analytics	1.7	1981
Statistics	0.9	1981
Statistics	2	1981
Business Math	2.2	1981
Statistics	2.3	1981
Statistics	2.2	1981
Statistics	1.4	1981
Statistics	0.9	1981
Analytics	2.9	1981
Statistics	2.2	1981
Business Math	1.4	1981
Analytics	0.6	1981
Statistics	2	1981
Statistics	2.8	1981
Analytics	3.1	1981
Business Math	1.1	1981
Business Math	1.2	1981
Business Math	1.5	1981
Analytics	3.8	1981
Analytics	3	1981
Business Math	3.1	1981
Statistics	2.8	1981
Business Math	3.9	1981
Statistics	2.7	1981
Business Math	3.5	1981
Statistics	3.8	1981
Business Math	3	1981
Business Math	3	1981
Business Math	2	1981
Statistics	3.7	1981
Business Math	1.6	1981
Statistics	2.8	1981
Statistics	0.7	1981
Business Math	2.9	1981
Business Math	3.9	1981
Analytics	3.4	1981
Business Math	0.8	1981
Analytics	2.9	1981
Business Math	2.3	1981
Statistics	2.9	1981
Statistics	2.4	1981
Business Math	2.8	1981
Statistics	1.4	1981
Analytics	3.1	1981
Business Math	2.7	1981
Business Math	1	1981
Statistics	0.2	1981
Statistics	2.8	1981
Business Math	2.3	1981
Statistics	2.5	1981
Analytics	3.1	1981
Statistics	3.4	1981
Business Math	1.4	1981
Business Math	3.1	1981
Business Math	2.2	1981
Statistics	1.5	1981
Statistics	3.1	1981
Statistics	0.2	1981
Statistics	2.5	1981
Analytics	3.2	1981
Business Math	1.1	1981
Business Math	2.4	1981
Analytics	2.6	1981
Business Math	1	1981
Analytics	3.3	1981
Business Math	1	1981
Analytics	0.2	1981
Business Math	1.9	1981
Statistics	2.2	1981
Statistics	3.2	1981
Analytics	3.2	1981
Business Math	0.6	1981
Statistics	1.9	1981
Business Math	3	1981
Business Math	2.3	1981
Statistics	1.3	1981
Business Math	1.7	1981
Business Math	2.8	1981
Statistics	1.7	1981
Business Math	1.7	1981
Statistics	0.8	1981
Statistics	1.4	1981
Business Math	1.8	1981
Business Math	2.5	1981
Statistics	1.1	1981
Business Math	2.9	1981
Business Math	2.8	1981
Business Math	0.8	1981
Business Math	1.1	1981
Statistics	3	1981
Statistics	0.9	1981
Statistics	2.6	1981
Business Math	0.9	1981
Statistics	2.5	1981
Statistics	3	1981
Statistics	3.9	1981
Business Math	3.1	1981
Analytics	3.3	1981
Business Math	3.1	1981
Analytics	3.2	1981
Analytics	1.7	1981
Business Math	2	1981
Statistics	1.5	1981
Statistics	1.9	1981
Business Math	1.8	1981
Statistics	3.2	1981
Statistics	2.8	1981
Business Math	2	1981
Analytics	1.2	1981
Business Math	3.1	1981
Statistics	2.4	1981
Statistics	2.9	1981
Business Math	2.7	1981
Business Math	2	1981
Statistics	2.8	1981
Business Math	3.5	1981
Business Math	1.7	1981
Statistics	1.4	1981
Statistics	1.2	1981
Statistics	1.7	1981
Business Math	3	1981
Business Math	3	1981
Business Math	1.7	1981
Business Math	0.1	1981
Business Math	2.4	1981
Business Math	1.5	1981
Statistics	2.1	1981
Business Math	2.1	1981
Statistics	1.5	1981
Statistics	2.8	1981
Business Math	3.3	1981
Statistics	0.2	1981
Business Math	3.1	1981
Business Math	1.7	1981
Analytics	2.8	1981
Business Math	3	1981
Analytics	2	1981
Analytics	3.3	1981
Analytics	2.5	1981
Statistics	1.7	1981
Statistics	1.9	1981
Business Math	2.9	1981
Analytics	2.2	1981
Statistics	1.4	1981
Business Math	1.6	1981
Business Math	2.1	1981
Statistics	2.7	1981
Analytics	3.9	1981
Business Math	2	1981
Business Math	1.7	1981
Statistics	2.4	1981
Analytics	2	1981
Statistics	0.6	1981
Business Math	2	1981
Business Math	3.5	1981
Business Math	2.4	1981
Business Math	1.5	1981
Statistics	2	1981
Business Math	1.7	1981
Business Math	3.1	1981
Statistics	3	1981
Statistics	1.6	1981
Statistics	3.3	1981
Analytics	0.7	1981
Business Math	1.7	1981
Analytics	2.6	1981
Business Math	2.8	1981
Business Math	2.4	1981
Business Math	3.2	1981
Business Math	2.6	1981
Analytics	2.4	1981
Business Math	3.8	1981
Statistics	0.9	1981
Business Math	1.9	1981
Statistics	0.6	1981
Business Math	1.8	1981
